id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
13769,Arthur,Casey,AC1888@gmail.com,boots,fabric,navy,230.0
10204,Victoria,Higgins,VictoriaHiggins66@hotmail.com,ballet flats,leather,red,187.0
52786,Ronald,Morton,RM3539@gmail.com,sandals,fabric,navy,286.0
90249,Joan,Rivas,JoanRivas66@gmail.com,clogs,fabric,red,437.0
26448,Stephen,Stevens,StephenStevens66@gmail.com,boots,leather,brown,176.0
74824,Abigail,Johns,Abigail.Johns@gmail.com,wedges,fabric,black,283.0
62812,Jessica,Ortega,Jessica.Ortega@gmail.com,sandals,faux-leather,white,236.0
40484,Walter,Cunningham,Walter.Cunningham@gmail.com,boots,fabric,navy,372.0
66605,Justin,Knight,JKnight1985@gmail.com,clogs,faux-leather,brown,138.0
17784,Louis,Miranda,LouisMiranda65@gmail.com,clogs,leather,black,451.0
84878,Carolyn,O'neil,Carolyn.O'neil@gmail.com,boots,leather,white,227.0
97228,Margaret,Pickett,MP1336@gmail.com,stilettos,faux-leather,brown,351.0
13553,Aaron,Hanson,AH3867@gmail.com,clogs,faux-leather,navy,493.0
91572,Ethan,Hobbs,EH6701@gmail.com,boots,leather,white,193.0
22823,Linda,Russo,LR1703@gmail.com,wedges,faux-leather,navy,406.0
54425,John,Ramos,JRamos1982@gmail.com,clogs,leather,brown,313.0
83346,Rachel,Lowery,Rachel.Lowery@gmail.com,ballet flats,faux-leather,brown,212.0
86546,Lisa,Spence,LSpence1998@gmail.com,wedges,faux-leather,black,115.0
55282,Noah,Knox,Noah.Knox@gmail.com,ballet flats,faux-leather,white,308.0
33364,Andrea,Chang,Andrea.Chang@yahoo.com,ballet flats,faux-leather,white,106.0
61294,Bobby,Watkins,BWatkins1975@outlook.com,sandals,faux-leather,brown,241.0
83961,Stephen,Hogan,SHogan1990@gmail.com,sandals,faux-leather,brown,113.0
56339,Lisa,Mcfadden,LisaMcfadden49@gmail.com,clogs,fabric,black,221.0
68675,Ruth,Owen,RO7614@gmail.com,clogs,leather,white,324.0
68967,Sharon,Franco,SFranco1983@gmail.com,ballet flats,fabric,brown,124.0
42304,Danielle,Hawkins,DH1551@gmail.com,sandals,fabric,navy,122.0
57075,Jesse,Foster,JesseFoster77@gmail.com,clogs,fabric,brown,234.0
97943,David,Fuentes,DFuentes1984@hotmail.com,clogs,fabric,black,242.0
93774,Rebecca,Park,RebeccaPark83@gmail.com,ballet flats,fabric,black,226.0
70164,Ann,Greene,Ann.Greene@gmail.com,stilettos,fabric,red,474.0
24999,Paul,Freeman,PaulFreeman9@gmail.com,sandals,fabric,red,409.0
19127,Philip,Dillard,Philip.Dillard@gmail.com,wedges,faux-leather,red,411.0
67253,Amber,Daugherty,AmberDaugherty60@gmail.com,clogs,faux-leather,red,95.0
55075,Ashley,Rogers,Ashley.Rogers@hotmail.com,wedges,faux-leather,brown,269.0
39447,Denise,Mendoza,DM2227@outlook.com,clogs,faux-leather,brown,93.0
26805,Sean,Richardson,SR5213@gmail.com,sandals,fabric,navy,339.0
35529,Carol,Reilly,CarolReilly18@gmail.com,wedges,fabric,brown,429.0
49703,Paul,Henderson,Paul.Henderson@gmail.com,stilettos,fabric,red,430.0
47183,Cynthia,Duffy,CDuffy1983@gmail.com,clogs,leather,black,451.0
83778,Joe,Perry,JoePerry3@gmail.com,ballet flats,leather,white,196.0
79139,Susan,Cash,SusanCash16@gmail.com,sandals,faux-leather,red,185.0
81591,Theresa,Henderson,THenderson1993@gmail.com,stilettos,leather,white,342.0
21506,Scott,Deleon,Scott.Deleon@gmail.com,stilettos,fabric,black,374.0
77266,Zachary,Gregory,Zachary.Gregory@gmail.com,sandals,leather,red,216.0
67264,Danielle,Merrill,DMerrill1998@gmail.com,wedges,faux-leather,red,461.0
19100,Danielle,Barron,DBarron1982@gmail.com,sandals,leather,white,313.0
26210,Marilyn,Finch,MarilynFinch92@gmail.com,sandals,leather,black,nan
